"","chr","start","end","count_c1","count_c2","count_c3","count_c4","count_c5","count_c6","count_c7","count_c8","count_c9","count_c10","count_h1","count_h2","count_h3","count_h4","count_h5","count_h6","count_h7","count_h8","count_h9","count_h10","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","chr1",858887,860836,1950,0,0,0,0,0,1113,0,0,0,472,0,0,0,0,0,1068,0,0,0,21.4513797386817,23.2575794130121,2.9578866145039,7.86290431112853,3.75327730923205e-15,3.07360388467187e-12
"2","chr1",911433,912156,724,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62769729264516,-22.167283669317,2.95812508142978,-7.49369382940448,6.69618244653651e-14,3.00280295354109e-11
"3","chr1",1057438,1058112,675,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7348824812994,-22.3184043853792,2.95796916462713,-7.54517817571387,4.51669554583295e-14,2.55144745641875e-11
"4","chr1",1062840,1066506,3667,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,34.4289592077593,-22.8774943492946,2.95703612461342,-7.73662998529837,1.02086605740475e-14,7.79921845215335e-12
"5","chr1",1078789,1080610,1822,0,0,0,0,0,0,0,0,0,0,428,0,200,0,0,200,0,0,0,40.0846029802829,24.1302606276259,2.95729464833005,8.15957268284104,3.36211913648645e-16,3.73583658966791e-13
"6","chr1",1098367,1103164,4798,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,24.3265650740271,-23.2037150076364,2.95721156271749,-7.84648460738252,4.27861239379996e-15,3.4742252363502e-12
"7","chr1",1141613,1142393,781,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10612480648358,-21.9376010179215,2.95840796444953,-7.41534003475529,1.21313149308554e-13,3.76886832054211e-11
"8","chr1",1179420,1180085,0,0,0,0,0,0,628,0,0,218,0,0,0,0,0,0,0,0,0,0,8.8349135209424,-22.0546853630412,2.9582600198055,-7.45528966871926,8.96705995088495e-14,3.44815523006953e-11
"9","chr1",1266639,1267840,1202,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,16.6487455323906,-22.5567639525463,2.95748704887865,-7.62700345927087,2.40273146897145e-14,1.56022530549662e-11
"10","chr1",1631584,1632048,0,0,0,0,0,0,0,0,0,0,200,460,0,200,0,0,0,0,0,0,41.5719638020972,24.1833994087795,2.957270246511,8.17760887335582,2.8953179200154e-16,3.3238172922893e-13
"11","chr1",1689453,1690646,1194,0,0,0,0,0,387,0,0,0,320,0,0,0,0,0,0,0,0,0,15.8649535112733,-22.5607700504642,2.95753046757596,-7.62824603087027,2.3796908867705e-14,1.54642389990967e-11
"12","chr1",1934660,1935538,879,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,8.10542524857101,-21.9371794184026,2.95840815886312,-7.41519703854278,1.21444116155965e-13,3.76886832054211e-11
"13","chr1",2023359,2024120,762,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10612480648358,-21.9376010179215,2.95840796444953,-7.41534003475529,1.21313149308554e-13,3.76886832054211e-11
